place_id,place_key,geom_source,year,value,numerator,denominator,measure_type,source,sample_n,notes
Stralsund,stralsund,legacy,,21.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Friedrichshafen,friedrichshafen,legacy,,16.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Offenburg,offenburg,legacy,,20.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Görlitz,gorlitz,legacy,,7.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Sankt Augustin,sankt augustin,legacy,,6.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Neu-Ulm,neu-ulm,legacy,,10.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Schweinfurt,schweinfurt,legacy,,10.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Greifswald,greifswald,legacy,,38.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Wetzlar,wetzlar,legacy,,3.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Speyer,speyer,legacy,,16.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Passau,passau,legacy,,4.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Dessau-Roßlau,dessau-roßlau,legacy,,20.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Duisburg,duisburg,legacy,,5.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Mannheim,mannheim,legacy,,12.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Gelsenkirchen,gelsenkirchen,legacy,,4.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Münster,munster,legacy,,36.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Chemnitz,chemnitz,legacy,,5.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Braunschweig,braunschweig,legacy,,19.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Aachen,aachen,legacy,,10.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Krefeld,krefeld,legacy,,12.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Oberhausen,oberhausen,legacy,,4.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lübeck,lubeck,legacy,,22.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Hagen,hagen,legacy,,1.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Kassel,kassel,legacy,,8.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Hamm,hamm,legacy,,10.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Herne,herne,legacy,,4.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Solingen,solingen,legacy,,1.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Osnabrück,osnabruck,legacy,,17.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Ludwigshafen am Rhein,ludwigshafen am rhein,legacy,,12.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Leverkusen,leverkusen,legacy,,10.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Oldenburg (Oldenburg),oldenburg (oldenburg),legacy,,29.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
